Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-177	2020-02-28	10	0	10	0	0	0	0	0	0	0.0	0	0.0	0.0			
-176	2020-02-29	14	0	4	0	0	0	1	0	0	0.0	0	0.0	0.0			
-175	2020-03-01	15	0	1	0	0	0	1	0	0	0.0	0	0.0	0.0			
-174	2020-03-02	20	0	5	0	0	0	1	0	0	0.0	0	0.0	0.0			
-173	2020-03-03	28	0	8	0	0	0	2	0	0	0.0	0	0.0	0.0			
-172	2020-03-04	50	0	22	0	0	0	4	0	1	0.0	0	0.0	0.0			
-171	2020-03-05	73	0	23	0	0	0	6	0	2	0.0	0	0.0	0.0			
-170	2020-03-06	96	0	23	0	86	0	8	0	2	0.0	7	0.0	0.7			
-169	2020-03-07	170	0	74	0	156	0	15	0	6	0.0	14	0.0	1.4			0.7
-168	2020-03-08	182	0	12	0	167	0	16	0	1	0.0	15	0.0	1.5			1.3
-167	2020-03-09	204	0	22	0	184	0	18	0	1	0.0	16	0.0	1.6			1.8
-166	2020-03-10	237	0	33	0	209	0	21	0	2	0.0	18	0.0	1.8			2.2
-165	2020-03-11	277	0	40	0	227	0	25	0	3	0.0	20	0.0	2.0			2.7
-164	2020-03-12	454	0	177	0	381	0	41	0	15	0.0	34	0.0	3.4			2.5
-163	2020-03-13	454	0	0	0	358	0	41	0	0	0.0	32	0.0	3.2			2.9
-162	2020-03-14	569	0	115	0	399	0	51	0	10	0.0	36	0.0	3.6			3.3
-161	2020-03-15	827	0	258	0	645	0	74	0	23	0.0	58	0.0	5.8			3.1
-160	2020-03-16	1105	0	278	0	901	0	99	0	25	0.0	81	0.0	8.1			2.7
-159	2020-03-17	1479	2	374	2	1242	2	133	0	33	0.181	112	0.18	11.2			2.5
-158	2020-03-18	1609	2	130	0	1332	2	145	0	11	0.0	120	0.18	12.0			2.8
-157	2020-03-19	2155	6	546	4	1701	6	194	0	49	0.361	153	0.54	15.3			2.9
-156	2020-03-20	2746	10	591	4	2292	10	248	0	53	0.361	207	0.9	20.7			2.8
-155	2020-03-21	3668	16	922	6	3099	16	331	1	83	0.542	279	1.45	27.9			2.7
-154	2020-03-22	3807	21	139	5	2980	21	343	1	12	0.452	269	1.9	26.9			3.2
-153	2020-03-23	3811	21	4	0	2706	21	344	1	0	0.0	244	1.9	24.4			3.9
-152	2020-03-24	5348	30	1537	9	3869	28	483	2	138	0.813	349	2.53	34.9			4.0
-151	2020-03-25	6069	37	721	7	4460	35	548	3	65	0.632	402	3.16	40.2			4.1
-150	2020-03-26	7283	56	1214	19	5128	50	657	5	109	1.716	463	4.52	46.3			4.3
-149	2020-03-27	8161	70	878	14	5415	60	737	6	79	1.265	489	5.42	48.9			4.6
-148	2020-03-28	9781	101	1620	31	6113	85	883	9	146	2.8	552	7.68	55.2			5.0
-147	2020-03-29	9794	101	13	0	5987	80	884	9	1	0.0	540	7.23	54.0			5.6
-146	2020-03-30	10943	119	1149	18	7132	98	988	10	103	1.626	644	8.85	64.4			6.0
-145	2020-03-31	12334	165	1391	46	6986	135	1114	14	125	4.156	631	12.2	63.1			6.6
-144	2020-04-01	13410	197	1076	32	7341	160	1211	17	97	2.891	663	14.45	66.3			7.4
-143	2020-04-02	14662	241	1252	44	7379	185	1324	21	113	3.975	666	16.71	66.6			8.5
-142	2020-04-03	16059	285	1397	44	7898	215	1450	25	126	3.975	713	19.42	71.3			9.4
-141	2020-04-04	17014	316	955	31	7233	215	1537	28	86	2.8	653	19.42	65.3			11.0
-140	2020-04-05	18614	367	1600	51	8820	266	1681	33	144	4.607	796	24.03	79.6			11.7
-139	2020-04-06	19395	387	781	20	8452	268	1752	34	70	1.807	763	24.21	76.3			14.0
-138	2020-04-07	20141	433	746	46	7807	268	1819	39	67	4.156	705	24.21	70.5			17.5
-137	2020-04-08	20680	464	539	31	7270	267	1868	41	48	2.8	656	24.12	65.6			23.9
-136	2020-04-09	21603	519	923	55	6941	278	1951	46	83	4.969	627	25.11	62.7			35.8
-135	2020-04-10	22433	570	830	51	6374	285	2026	51	74	4.607	575	25.75	57.5			82.0
-134	2020-04-11	23617	622	1184	52	6603	306	2133	56	106	4.698	596	27.64	59.6			
-133	2020-04-12	24078	649	461	27	5464	282	2175	58	41	2.439	493	25.48	49.3			-62.2
-132	2020-04-13	24570	677	492	28	5175	290	2219	61	44	2.529	467	26.2	46.7			-35.4
-131	2020-04-14	25040	711	470	34	4899	278	2262	64	42	3.072	442	25.11	44.2			-23.8
-130	2020-04-15	25438	767	398	56	4758	303	2298	69	35	5.059	429	27.37	42.9			-18.5
-129	2020-04-16	25881	802	443	35	4278	283	2338	72	40	3.162	386	25.57	38.6			-14.8
-128	2020-04-17	26543	872	662	70	4110	302	2397	78	59	6.324	371	27.28	37.1			-12.9
-127	2020-04-18	27258	919	715	47	3641	297	2462	83	64	4.246	328	26.83	32.8			-10.5
-126	2020-04-19	27883	968	625	49	3805	319	2518	87	56	4.427	343	28.82	34.3			-10.6
-125	2020-04-20	28253	982	370	14	3683	305	2552	88	33	1.265	332	27.55	33.2			-10.9
-124	2020-04-21	28712	1031	459	49	3672	320	2593	93	41	4.427	331	28.91	33.1			-11.3
-123	2020-04-22	28898	1063	186	32	3460	296	2610	96	16	2.891	312	26.74	31.2			-11.7
-122	2020-04-23	29443	1113	545	50	3562	311	2659	100	49	4.517	321	28.1	32.1			-12.7
-121	2020-04-24	29792	1153	349	40	3249	281	2691	104	31	3.614	293	25.39	29.3			-13.4
-120	2020-04-25	30169	1189	377	36	2911	270	2725	107	34	3.252	262	24.39	26.2			-15.6
-119	2020-04-26	30761	1237	592	48	2878	269	2778	111	53	4.336	259	24.3	25.9	10.7	56.4	-16.2
-118	2020-04-27	31043	1249	282	12	2790	267	2804	112	25	1.084	252	24.12	25.2	10.1	55.5	-16.9
-117	2020-04-28	31196	1269	153	20	2484	238	2818	114	13	1.807	224	21.5	22.4	10.3	56.1	-16.9
-116	2020-04-29	31336	1299	140	30	2438	236	2830	117	12	2.71	220	21.32	22.0	10.4	56.8	-17.6
-115	2020-04-30	31609	1353	273	54	2166	240	2855	122	24	4.878	195	21.68	19.5	10.1	57.3	-16.6
-114	2020-05-01	31919	1385	310	32	2127	232	2883	125	28	2.891	192	20.96	19.2	9.8	56.2	-15.9
-113	2020-05-02	32146	1402	227	17	1977	213	2904	126	20	1.536	178	19.24	17.8	10.0	55.8	-13.8
-112	2020-05-03	32291	1412	145	10	1530	175	2917	127	13	0.903	138	15.81	13.8	9.3	55.7	-12.2
-111	2020-05-04	32411	1421	120	9	1368	172	2927	128	10	0.813	123	15.54	12.3	9.8	57.6	-10.8
-110	2020-05-05	32482	1452	71	31	1286	183	2934	131	6	2.8	116	16.53	11.6	9.7	59.0	-9.9
-109	2020-05-06	32576	1481	94	29	1240	182	2942	133	8	2.62	112	16.44	11.2	8.6	59.6	-9.1
-108	2020-05-07	32762	1497	186	16	1153	144	2959	135	16	1.445	104	13.01	10.4	7.8	58.3	-8.9
-107	2020-05-08	32898	1515	136	18	979	130	2971	136	12	1.626	88	11.74	8.8	7.3	58.7	-8.5
-106	2020-05-09	33105	1534	207	19	959	132	2990	138	18	1.716	86	11.92	8.6	6.9	58.2	-7.9
-105	2020-05-10	33287	1542	182	8	996	130	3007	139	16	0.723	89	11.74	8.9	6.5	57.1	-7.7
-104	2020-05-11	33190	1545	0	3	779	124	2998	139	0	0.271	70	11.2	7.0	6.9	55.9	-7.5
-103	2020-05-12	33359	1568	169	23	877	116	3013	141	15	2.078	79	10.48	7.9	6.6	57.5	-7.5
-102	2020-05-13	33518	1594	159	26	942	113	3027	143	14	2.349	85	10.21	8.5	6.0	58.9	-8.0
-101	2020-05-14	33670	1608	152	14	908	111	3041	145	13	1.265	82	10.03	8.2	5.3	60.0	-8.6
-100	2020-05-15	33851	1628	181	20	953	113	3058	147	16	1.807	86	10.21	8.6	5.7	60.9	-10.8
-99	2020-05-16	33893	1644	42	16	788	110	3061	148	3	1.445	71	9.94	7.1	5.3	61.1	-14.4
-98	2020-05-17	33950	1648	57	4	663	106	3066	148	5	0.361	59	9.58	5.9	5.1	58.2	-15.3
-97	2020-05-18	34000	1652	50	4	810	107	3071	149	4	0.361	73	9.67	7.3	5.3	58.2	-17.6
-96	2020-05-19	34034	1653	34	1	675	85	3074	149	3	0.09	60	7.68	6.0	4.9	59.5	-18.6
-95	2020-05-20	34115	1672	81	19	597	78	3081	151	7	1.716	53	7.05	5.3	4.8	61.5	-19.4
-94	2020-05-21	34175	1680	60	8	505	72	3087	151	5	0.723	45	6.5	4.5	4.4	61.0	-18.7
-93	2020-05-22	34174	1680	0	0	323	52	3087	151	0	0.0	29	4.7	2.9	4.5	59.4	-14.3
-92	2020-05-23	34345	1692	171	12	452	48	3102	152	15	1.084	40	4.34	4.0	4.1	59.1	-12.6
-91	2020-05-24	34399	1697	54	5	449	49	3107	153	4	0.452	40	4.43	4.0	4.0	57.2	-12.0
-90	2020-05-25	34431	1698	32	1	431	46	3110	153	2	0.09	38	4.16	3.8	3.9	57.5	-9.9
-89	2020-05-26	34466	1707	35	9	432	54	3113	154	3	0.813	39	4.88	3.9	3.5	59.7	-9.0
-88	2020-05-27	34500	1724	34	17	385	52	3116	155	3	1.536	34	4.7	3.4	3.3	60.2	-8.7
-87	2020-05-28	34129	1724	0	0	0	44	3083	155	0	0.0	0	3.97	0.0	3.2	61.1	-7.2
-86	2020-05-29	34479	1743	350	19	305	63	3114	157	31	1.716	27	5.69	2.7	3.3	61.1	-7.7
-85	2020-05-30	34718	1748	239	5	373	56	3136	157	21	0.452	33	5.06	3.3	3.3	60.3	-8.1
-84	2020-05-31	34718	1748	0	0	319	51	3136	157	0	0.0	28	4.61	2.8	3.1	58.0	-7.7
-83	2020-06-01	34784	1752	66	4	353	54	3142	158	5	0.361	31	4.88	3.1	3.1	57.6	-10.2
-82	2020-06-02	34796	1758	12	6	330	51	3143	158	1	0.542	29	4.61	2.9	2.9	58.7	-13.5
-81	2020-06-03	34813	1760	17	2	313	36	3144	158	1	0.181	28	3.25	2.8	2.5	60.1	-19.2
-80	2020-06-04	34830	1761	17	1	701	37	3146	159	1	0.09	63	3.34	6.3	2.3	60.2	
-79	2020-06-05	34870	1778	40	17	391	35	3150	160	3	1.536	35	3.16	3.5	2.5	60.6	
-78	2020-06-06	34898	1790	28	12	180	42	3152	161	2	1.084	16	3.79	1.6	2.4	59.8	
-77	2020-06-07	34912	1791	14	1	194	43	3153	161	1	0.09	17	3.88	1.7	2.4	58.4	
-76	2020-06-08	34937	1791	25	0	153	39	3156	161	2	0.0	13	3.52	1.3	2.5	58.1	
-75	2020-06-09	34958	1795	21	4	162	37	3158	162	1	0.361	14	3.34	1.4	2.4	60.2	
-74	2020-06-10	34965	1798	7	3	152	38	3158	162	0	0.271	13	3.43	1.3	2.3	59.2	
-73	2020-06-11	35002	1801	37	3	172	40	3162	162	3	0.271	15	3.61	1.5	2.1	59.8	-12.8
-72	2020-06-12	35057	1802	55	1	187	24	3166	162	4	0.09	16	2.17	1.6	2.1	59.2	-10.2
-71	2020-06-13	35090	1805	33	3	192	15	3169	163	2	0.271	17	1.36	1.7	2.2	58.5	-9.5
-70	2020-06-14	35090	1805	0	0	178	14	3169	163	0	0.0	16	1.26	1.6	2.1	58.6	-8.1
-69	2020-06-15	35090	1805	0	0	153	14	3169	163	0	0.0	13	1.26	1.3	2.0	58.7	-7.0
-68	2020-06-16	35150	1808	60	3	192	13	3175	163	5	0.271	17	1.17	1.7	2.1	60.2	-6.8
-67	2020-06-17	35177	1811	27	3	212	13	3177	163	2	0.271	19	1.17	1.9	2.0	61.1	-6.9
-66	2020-06-18	35218	1816	41	5	216	15	3181	164	3	0.452	19	1.36	1.9	1.8	61.5	
-65	2020-06-19	35236	1821	18	5	179	19	3183	164	1	0.452	16	1.72	1.6	1.7	60.8	
-64	2020-06-20	35272	1824	36	3	182	19	3186	164	3	0.271	16	1.72	1.6	1.6	60.9	
-63	2020-06-21	35272	1824	0	0	182	19	3186	164	0	0.0	16	1.72	1.6	1.8	59.6	
-62	2020-06-22	35272	1824	0	0	182	19	3186	164	0	0.0	16	1.72	1.6	1.9	59.4	
-61	2020-06-23	35365	1826	93	2	215	18	3194	164	8	0.181	19	1.63	1.9	1.9	59.9	
-60	2020-06-24	35409	1826	44	0	232	15	3198	164	3	0.0	20	1.36	2.0	1.8	61.4	
-59	2020-06-25	35446	1827	37	1	228	11	3202	165	3	0.09	20	0.99	2.0	1.6	61.1	
-58	2020-06-26	35476	1830	30	3	240	9	3204	165	2	0.271	21	0.81	2.1	1.7	62.4	
-57	2020-06-27	35530	1829	54	0	258	5	3209	165	4	0.0	23	0.45	2.3	1.7	61.7	
-56	2020-06-28	35530	1829	0	0	258	5	3209	165	0	0.0	23	0.45	2.3	1.6	60.8	
-55	2020-06-29	35530	1829	0	0	258	5	3209	165	0	0.0	23	0.45	2.3	1.5	59.4	
-54	2020-06-30	35620	1830	90	1	255	4	3217	165	8	0.09	23	0.36	2.3	1.4	61.5	
-53	2020-07-01	35694	1838	74	8	285	12	3224	166	6	0.723	25	1.08	2.5	1.5	63.1	
-52	2020-07-02	35744	1838	50	0	298	11	3229	166	4	0.0	26	0.99	2.6	1.6	62.7	
-51	2020-07-03	35771	1839	27	1	295	9	3231	166	2	0.09	26	0.81	2.6	1.5	62.2	
-50	2020-07-04	35807	1837	36	0	277	8	3234	165	3	0.0	25	0.72	2.5	1.7	61.5	
-49	2020-07-05	35807	1837	0	0	277	8	3234	165	0	0.0	25	0.72	2.5	1.4	60.6	
-48	2020-07-06	35807	1837	0	0	277	8	3234	165	0	0.0	25	0.72	2.5	1.5	59.5	
-47	2020-07-07	35862	1837	55	0	242	7	3239	165	4	0.0	21	0.63	2.1	1.5	61.0	
-46	2020-07-08	35890	1837	28	0	196	0	3242	165	2	0.0	17	0.0	1.7	1.3	62.0	
-45	2020-07-09	35942	1838	52	1	198	0	3246	166	4	0.09	17	0.0	1.7	1.3	61.3	
-44	2020-07-10	35990	1837	48	0	219	0	3251	165	4	0.0	19	0.0	1.9	1.3	61.1	
-43	2020-07-11	36041	1837	51	0	234	0	3255	165	4	0.0	21	0.0	2.1	1.1	60.5	
-42	2020-07-12	36041	1837	0	0	234	0	3255	165	0	0.0	21	0.0	2.1	1.1	59.0	
-41	2020-07-13	36041	1837	0	0	234	0	3255	165	0	0.0	21	0.0	2.1	1.1	58.2	
-40	2020-07-14	36111	1837	70	0	249	0	3262	165	6	0.0	22	0.0	2.2	1.3	59.9	
-39	2020-07-15	36162	1838	51	1	272	1	3266	166	4	0.09	24	0.09	2.4	1.2	62.1	
-38	2020-07-16	36227	1838	65	0	285	0	3272	166	5	0.0	25	0.0	2.5	1.2	62.2	
-37	2020-07-17	36264	1839	37	1	274	2	3276	166	3	0.09	24	0.18	2.4	1.2	62.7	
-36	2020-07-18	36342	1838	78	0	301	1	3283	166	7	0.0	27	0.09	2.7	1.2	62.1	
-35	2020-07-19	36342	1838	0	0	301	1	3283	166	0	0.0	27	0.09	2.7	1.3	59.8	
-34	2020-07-20	36342	1838	0	0	301	1	3283	166	0	0.0	27	0.09	2.7	1.2	60.0	
-33	2020-07-21	36492	1838	150	0	381	1	3296	166	13	0.0	34	0.09	3.4	1.3	61.4	15.3
-32	2020-07-22	36556	1838	64	0	394	0	3302	166	5	0.0	35	0.0	3.5	1.2	61.6	14.1
-31	2020-07-23	36565	1838	9	0	338	0	3303	166	0	0.0	30	0.0	3.0	1.2	61.7	16.3
-30	2020-07-24	36731	1839	166	1	467	0	3318	166	14	0.09	42	0.0	4.2	1.2	62.1	13.5
